Goal,Team A,Team B,Winner
45-31,Mumbai,Jaipur,Mumbai
46-32,Jaipur,Hyderabad,Jaipur
18-40,Patna,Jaipur,Jaipur
31-40,Delhi,Jaipur,Jaipur
29-49,Hyderabad,Jaipur,Jaipur
39-23,Jaipur,Bengal,Jaipur
23-50,Pune,Jaipur,Jaipur
33-41,Bengal,Jaipur,Jaipur
30-52,Jaipur,Patna,Patna
36-31,Jaipur,Bengaluru,Jaipur
31-31,Jaipur,Mumbai,tie
41-31,Jaipur,Delhi,Jaipur
33-27,Jaipur,Pune,Jaipur
30-29,Bengaluru,Jaipur,Bengaluru
38-18,Jaipur,Patna,Jaipur
35-24,Jaipur,Mumbai,Jaipur
36-25,Mumbai,Bengal,Mumbai
35-35,Mumbai,Hyderabad,tie
36-33,Mumbai,Patna,Mumbai
29-38,Bengal,Mumbai,Mumbai
44-28,Mumbai,Pune,Mumbai
34-45,Bengaluru,Mumbai,Mumbai
37-37,Patna,Mumbai,tie
30-33,Mumbai,Bengaluru,Bengaluru
36-27,Delhi,Mumbai,Delhi
44-43,Hyderabad,Mumbai,Hyderabad
37-30,Mumbai,Delhi,Mumbai
35-36,Pune,Mumbai,Mumbai
27-23,Mumbai,Bengaluru,Mumbai
28-47,Delhi,Bengaluru,Bengaluru
40-37,Bengaluru,Pune,Bengaluru
30-46,Bengal,Bengaluru,Bengaluru
33-31,Pune,Bengaluru,Pune
35-37,Patna,Bengaluru,Bengaluru
27-29,Bengaluru,Delhi,Delhi
28-28,Hyderabad,Bengaluru,tie
37-24,Bengaluru,Bengal,Bengaluru
31-33,Bengaluru,Patna,Patna
27-26,Bengaluru,Hyderabad,Bengaluru
29-22,Patna,Bengaluru,Patna
35-38,Hyderabad,Patna,Patna
31-36,Delhi,Patna,Patna
35-27,Patna,Pune,Patna
30-30,Patna,Delhi,tie
31-37,Pune,Patna,Patna
28-30,Patna,Bengal,Bengal
32-36,Bengal,Patna,Patna
29-32,Patna,Hyderabad,Hyderabad
35-39,Delhi,Hyderabad,Hyderabad
40-35,Bengal,Hyderabad,Bengal
36-42,Pune,Hyderabad,Hyderabad
60-24,Hyderabad,Pune,Hyderabad
45-26,Hyderabad,Delhi,Hyderabad
34-34,Hyderabad,Bengal,tie
31-35,Pune,Delhi,Delhi
42-40,Bengal,Delhi,Bengal
46-36,Delhi,Bengal,Delhi
45-22,Delhi,Pune,Delhi
38-35,Bengal,Pune,Bengal
40-30,Pune,Bengal,Pune
