Goal,Team A,Team B,Winner
26-20,Gujarat,Delhi,Gujarat
27-27,Gujarat,Haryana,tie
20-32,Gujarat,Haryana,Haryana
39-21,Gujarat,Mumbai,Gujarat
29-25,Gujarat,Delhi,Gujarat
27-20,Gujarat,Jaipur,Gujarat
27-24,Gujarat,Bengaluru,Gujarat
29-19,Gujarat,Hyderabad,Gujarat
26-26,Gujarat,Bengal,tie
35-21,Gujarat,Pune,Gujarat
36-42,Gujarat,Haryana,Haryana
25-31,Gujarat,Jaipur,Jaipur
30-30,Gujarat,UP,tie
28-39,Mumbai,Gujarat,Gujarat
23-45,Mumbai,Gujarat,Gujarat
34-35,Gujarat,Tamil Nadu,Tamil Nadu
30-29,Gujarat,Patna,Gujarat
22-42,Delhi,Gujarat,Gujarat
23-29,Jaipur,Gujarat,Gujarat
33-29,Gujarat,Patna,Gujarat
20-44,Pune,Gujarat,Gujarat
22-23,Pune,Gujarat,Gujarat
42-17,Gujarat,Bengal,Gujarat
38-55,Gujarat,Patna,Patna
21-33,Mumbai,Pune,Pune
26-21,Pune,Delhi,Pune
28-30,Pune,Jaipur,Jaipur
17-34,Bengal,Pune,Pune
42-47,Patna,Pune,Pune
24-26,Mumbai,Pune,Pune
37-42,Hyderabad,Pune,Pune
24-20,Bengaluru,Pune,Bengaluru
22-38,Haryana,Pune,Pune
37-25,Pune,Haryana,Pune
29-34,Delhi,Pune,Pune
20-33,Tamil Nadu,Pune,Pune
34-33,Pune,UP,Pune
19-25,Pune,Bengal,Bengal
30-38,Jaipur,Pune,Pune
43-24,Pune,Mumbai,Pune
34-31,Pune,Delhi,Pune
27-31,Pune,Haryana,Haryana
38-15,Pune,Jaipur,Pune
40-38,Pune,UP,Pune
32-42,Pune,Patna,Patna
29-28,Mumbai,Haryana,Mumbai
25-25,Haryana,Tamil Nadu,tie
29-36,UP,Haryana,Haryana
27-25,Haryana,Delhi,Haryana
38-32,Mumbai,Haryana,Mumbai
29-36,Bengal,Haryana,Haryana
41-41,Haryana,Patna,tie
38-31,Haryana,Bengaluru,Haryana
19-37,Haryana,Hyderabad,Hyderabad
27-24,Haryana,Delhi,Haryana
27-27,Haryana,Jaipur,tie
26-30,Jaipur,Haryana,Haryana
24-42,Delhi,Haryana,Haryana
30-41,Mumbai,Haryana,Haryana
32-30,Haryana,Hyderabad,Haryana
27-37,Jaipur,Haryana,Haryana
69-30,Patna,Haryana,Patna
36-22,Mumbai,Delhi,Mumbai
34-37,UP,Mumbai,Mumbai
37-32,Hyderabad,Mumbai,Hyderabad
36-39,Mumbai,Jaipur,Jaipur
32-33,Mumbai,Delhi,Delhi
36-32,Mumbai,Jaipur,Mumbai
31-37,Bengal,Mumbai,Mumbai
41-51,Patna,Mumbai,Mumbai
28-30,Delhi,Mumbai,Mumbai
30-42,Bengaluru,Mumbai,Mumbai
30-33,Tamil Nadu,Mumbai,Mumbai
36-32,Jaipur,Mumbai,Jaipur
35-38,Mumbai,Tamil Nadu,Tamil Nadu
26-30,Jaipur,Delhi,Delhi
28-30,Bengaluru,Jaipur,Jaipur
22-24,UP,Jaipur,Jaipur
47-21,Patna,Jaipur,Patna
36-25,Jaipur,Delhi,Jaipur
41-34,Hyderabad,Jaipur,Hyderabad
26-27,Tamil Nadu,Jaipur,Jaipur
31-32,Jaipur,Bengal,Bengal
34-35,Jaipur,Delhi,Delhi
32-53,Jaipur,UP,UP
30-29,Delhi,Tamil Nadu,Delhi
38-30,Delhi,Bengaluru,Delhi
31-31,Bengal,Delhi,tie
34-36,Delhi,Patna,Patna
16-45,Delhi,UP,UP
22-44,Delhi,Hyderabad,Hyderabad
32-35,Delhi,Bengaluru,Bengaluru
24-30,Hyderabad,Bengal,Bengal
40-20,Bengal,UP,Bengal
31-25,Bengaluru,Bengal,Bengaluru
31-32,UP,Bengal,Bengal
36-36,Bengal,Patna,tie
32-26,Bengal,Bengaluru,Bengal
41-38,Bengal,Patna,Bengal
26-26,Bengal,UP,tie
29-25,Bengal,Tamil Nadu,Bengal
32-31,Bengal,Hyderabad,Bengal
37-37,Patna,Bengal,tie
29-33,Bengaluru,Bengal,Bengal
32-33,Bengal,Tamil Nadu,Tamil Nadu
34-30,Bengal,Tamil Nadu,Bengal
37-37,Hyderabad,Bengal,tie
44-47,Bengal,Patna,Patna
29-35,Hyderabad,Patna,Patna
36-43,Hyderabad,Patna,Patna
32-46,Bengaluru,Patna,Patna
27-27,Patna,UP,tie
35-24,Patna,Tamil Nadu,Patna
46-30,Patna,Hyderabad,Patna
45-42,Patna,UP,Patna
36-32,Patna,Bengaluru,Patna
41-39,Patna,Tamil Nadu,Patna
41-46,Patna,UP,UP
40-37,Tamil Nadu,Patna,Tamil Nadu
29-29,Patna,Bengaluru,tie
18-31,Hyderabad,UP,UP
27-32,Bengaluru,UP,UP
32-39,Hyderabad,UP,UP
33-33,UP,Tamil Nadu,tie
25-23,UP,Hyderabad,UP
34-33,Tamil Nadu,UP,Tamil Nadu
33-37,Tamil Nadu,UP,UP
38-32,Bengaluru,UP,Bengaluru
64-24,Bengaluru,UP,Bengaluru
21-31,Hyderabad,Bengaluru,Bengaluru
32-31,Bengaluru,Tamil Nadu,Bengaluru
21-21,Bengaluru,Hyderabad,tie
24-29,Bengaluru,Tamil Nadu,Tamil Nadu
26-26,Bengaluru,Hyderabad,tie
35-45,Tamil Nadu,Bengaluru,Bengaluru
32-27,Hyderabad,Tamil Nadu,Hyderabad
33-28,Hyderabad,Tamil Nadu,Hyderabad
37-58,Tamil Nadu,Hyderabad,Hyderabad
