Goal,Team A,Team B,Winner
32-32,Delhi,Gujarat,tie
32-25,Haryana,Gujarat,Haryana
28-34,Pune,Gujarat,Gujarat
36-25,Gujarat,Tamil Nadu,Gujarat
27-37,Pune,Gujarat,Gujarat
25-36,Jaipur,Gujarat,Gujarat
38-45,Delhi,Gujarat,Gujarat
36-38,Mumbai,Gujarat,Gujarat
35-23,Gujarat,Bengal,Gujarat
30-30,Gujarat,Bengaluru,tie
37-32,Gujarat,UP,Gujarat
26-29,Gujarat,Delhi,Delhi
39-35,Gujarat,Mumbai,Gujarat
40-31,Gujarat,Haryana,Gujarat
20-35,Pune,Gujarat,Gujarat
36-26,Mumbai,Gujarat,Mumbai
27-45,Patna,Gujarat,Gujarat
27-29,Hyderabad,Gujarat,Gujarat
37-47,Haryana,Gujarat,Gujarat
29-34,Jaipur,Gujarat,Gujarat
31-33,Jaipur,Gujarat,Gujarat
37-29,Gujarat,Patna,Gujarat
29-41,Gujarat,Bengaluru,Bengaluru
38-31,Gujarat,UP,Gujarat
38-33,Bengaluru,Gujarat,Bengaluru
32-32,Pune,Mumbai,tie
39-32,Mumbai,Jaipur,Mumbai
26-53,Haryana,Mumbai,Mumbai
32-42,Haryana,Mumbai,Mumbai
33-32,Pune,Mumbai,Pune
41-20,Mumbai,Hyderabad,Mumbai
39-40,Patna,Mumbai,Mumbai
31-22,Mumbai,Pune,Mumbai
48-24,Mumbai,Jaipur,Mumbai
31-35,Mumbai,Haryana,Haryana
41-24,Mumbai,UP,Mumbai
32-29,Mumbai,Bengaluru,Mumbai
36-22,Mumbai,Tamil Nadu,Mumbai
39-23,Mumbai,Delhi,Mumbai
34-41,Delhi,Mumbai,Mumbai
31-20,Mumbai,Bengal,Mumbai
19-44,Delhi,Mumbai,Mumbai
35-35,Jaipur,Mumbai,tie
32-34,Mumbai,UP,UP
29-34,Mumbai,UP,UP
37-41,Pune,Delhi,Delhi
34-31,Haryana,Delhi,Haryana
39-30,Delhi,Bengal,Delhi
36-38,Delhi,UP,UP
27-31,Delhi,Pune,Pune
33-39,Haryana,Delhi,Delhi
29-40,Jaipur,Delhi,Delhi
38-35,Patna,Delhi,Patna
27-34,Delhi,Haryana,Haryana
48-35,Delhi,Jaipur,Delhi
35-24,Delhi,Pune,Delhi
34-29,Delhi,Hyderabad,Delhi
32-31,Delhi,Bengaluru,Delhi
37-33,Delhi,Tamil Nadu,Delhi
37-37,Jaipur,Delhi,tie
31-37,Bengal,Delhi,Delhi
39-28,Delhi,Bengal,Delhi
45-33,UP,Delhi,UP
34-22,Pune,Haryana,Pune
27-45,Haryana,Pune,Pune
29-25,Pune,Jaipur,Pune
