Goal,Team A,Team B,Winner
33-34,Hyderabad,Delhi,Delhi
30-29,Delhi,Tamil Nadu,Delhi
41-21,Delhi,Haryana,Delhi
31-26,Gujarat,Delhi,Gujarat
35-24,Delhi,Jaipur,Delhi
30-32,Pune,Delhi,Delhi
30-30,Bengal,Delhi,tie
33-31,Delhi,Bengaluru,Delhi
36-27,Delhi,UP,Delhi
40-24,Delhi,Mumbai,Delhi
38-35,Delhi,Patna,Delhi
44-46,Jaipur,Delhi,Delhi
25-47,Delhi,Haryana,Haryana
50-34,Delhi,Tamil Nadu,Delhi
34-30,Delhi,Gujarat,Delhi
29-37,Hyderabad,Delhi,Delhi
39-39,Delhi,Bengaluru,tie
39-43,Patna,Delhi,Delhi
40-60,Pune,Delhi,Delhi
17-48,UP,Bengal,Bengal
27-25,Jaipur,Bengal,Jaipur
43-23,Bengal,Pune,Bengal
42-43,Bengal,Bengaluru,Bengaluru
32-30,Bengal,Mumbai,Bengal
29-29,Bengal,Hyderabad,tie
26-28,Gujarat,Bengal,Bengal
35-26,Bengal,Patna,Bengal
33-36,Bengal,Haryana,Haryana
35-26,Bengal,Tamil Nadu,Bengal
32-29,UP,Bengal,UP
25-25,Bengal,Gujarat,tie
42-39,Bengal,Pune,Bengal
29-26,Bengal,Mumbai,Bengal
42-40,Bengal,Bengaluru,Bengal
48-36,Bengal,Haryana,Bengal
40-41,Jaipur,Bengal,Bengal
39-40,Hyderabad,Bengal,Bengal
24-34,Pune,Haryana,Haryana
21-37,Haryana,Jaipur,Jaipur
28-35,Haryana,Tamil Nadu,Tamil Nadu
26-35,Patna,Haryana,Haryana
30-33,Bengaluru,Haryana,Haryana
33-36,UP,Haryana,Haryana
29-40,Haryana,Hyderabad,Hyderabad
27-30,Mumbai,Haryana,Haryana
25-41,Gujarat,Haryana,Haryana
27-41,Pune,Haryana,Haryana
32-32,Haryana,Jaipur,tie
35-43,Tamil Nadu,Haryana,Haryana
34-39,Patna,Haryana,Haryana
30-37,Haryana,UP,UP
38-37,Haryana,Gujarat,Haryana
34-32,Bengaluru,Patna,Bengaluru
24-42,Bengaluru,Gujarat,Gujarat
26-30,Mumbai,Bengaluru,Bengaluru
26-47,Hyderabad,Bengaluru,Bengaluru
35-33,UP,Bengaluru,UP
21-32,Tamil Nadu,Bengaluru,Bengaluru
31-23,Pune,Bengaluru,Pune
30-41,Jaipur,Bengaluru,Bengaluru
23-32,Bengaluru,Gujarat,Gujarat
33-27,Bengaluru,Tamil Nadu,Bengaluru
40-39,Bengaluru,Patna,Bengaluru
40-39,Bengaluru,Hyderabad,Bengaluru
42-38,Pune,Bengaluru,Pune
33-35,Mumbai,Bengaluru,Bengaluru
19-44,UP,Gujarat,Gujarat
23-27,Mumbai,UP,UP
20-20,Hyderabad,UP,tie
28-28,UP,Tamil Nadu,tie
41-20,Patna,UP,Patna
31-24,UP,Jaipur,UP
35-30,UP,Pune,UP
29-41,Patna,UP,UP
33-26,UP,Gujarat,UP
32-38,Jaipur,UP,UP
39-36,Mumbai,UP,Mumbai
42-22,UP,Tamil Nadu,UP
25-31,Hyderabad,Mumbai,Mumbai
23-42,Mumbai,Jaipur,Jaipur
33-23,Mumbai,Pune,Mumbai
32-20,Mumbai,Gujarat,Mumbai
34-30,Mumbai,Patna,Mumbai
24-29,Tamil Nadu,Mumbai,Mumbai
47-21,Mumbai,Jaipur,Mumbai
33-33,Pune,Mumbai,tie
27-41,Hyderabad,Mumbai,Mumbai
31-25,Mumbai,Gujarat,Mumbai
21-34,Patna,Jaipur,Jaipur
33-25,Jaipur,Pune,Jaipur
19-22,Gujarat,Jaipur,Jaipur
26-28,Tamil Nadu,Jaipur,Jaipur
21-24,Jaipur,Hyderabad,Hyderabad
33-36,Jaipur,Patna,Patna
28-28,Jaipur,Gujarat,tie
43-34,Jaipur,Pune,Jaipur
31-51,Jaipur,Hyderabad,Hyderabad
31-33,Gujarat,Pune,Pune
28-34,Gujarat,Tamil Nadu,Tamil Nadu
24-30,Gujarat,Hyderabad,Hyderabad
29-26,Gujarat,Patna,Gujarat
43-33,Pune,Gujarat,Pune
50-21,Gujarat,Tamil Nadu,Gujarat
20-41,Patna,Pune,Pune
31-31,Tamil Nadu,Pune,tie
27-34,Hyderabad,Pune,Pune
33-55,Pune,Patna,Patna
36-36,Pune,Tamil Nadu,tie
22-34,Hyderabad,Patna,Patna
23-24,Tamil Nadu,Patna,Patna
25-51,Tamil Nadu,Patna,Patna
42-42,Hyderabad,Patna,tie
26-39,Hyderabad,Tamil Nadu,Tamil Nadu
35-30,Hyderabad,Tamil Nadu,Hyderabad
