Goal,Team A,Team B,Winner
24-30,Pune,Patna,Patna
34-36,Mumbai,Patna,Patna
33-35,Hyderabad,Patna,Patna
31-25,Patna,Bengaluru,Patna
35-21,Patna,Bengal,Patna
15-33,Patna,Delhi,Delhi
21-26,Patna,Jaipur,Jaipur
23-38,Bengaluru,Patna,Patna
34-24,Patna,Mumbai,Patna
27-33,Bengal,Patna,Patna
29-22,Jaipur,Patna,Jaipur
31-28,Patna,Pune,Patna
31-32,Delhi,Patna,Patna
25-46,Patna,Hyderabad,Hyderabad
37-33,Patna,Pune,Patna
37-29,Patna,Jaipur,Patna
28-24,Pune,Hyderabad,Pune
28-24,Jaipur,Hyderabad,Jaipur
35-18,Hyderabad,Bengal,Hyderabad
28-30,Hyderabad,Bengaluru,Bengaluru
35-30,Hyderabad,Mumbai,Hyderabad
23-28,Delhi,Hyderabad,Hyderabad
24-32,Bengaluru,Hyderabad,Hyderabad
32-29,Hyderabad,Pune,Hyderabad
34-34,Bengal,Hyderabad,tie
36-28,Hyderabad,Delhi,Hyderabad
25-25,Mumbai,Hyderabad,tie
35-23,Hyderabad,Jaipur,Hyderabad
24-34,Hyderabad,Jaipur,Jaipur
35-40,Hyderabad,Pune,Pune
36-34,Mumbai,Jaipur,Mumbai
28-28,Jaipur,Bengaluru,tie
36-33,Jaipur,Bengal,Jaipur
28-33,Jaipur,Pune,Pune
26-51,Delhi,Jaipur,Jaipur
22-24,Bengaluru,Jaipur,Jaipur
23-29,Jaipur,Mumbai,Mumbai
32-25,Bengal,Jaipur,Bengal
27-33,Pune,Jaipur,Jaipur
24-22,Jaipur,Delhi,Jaipur
41-19,Pune,Mumbai,Pune
27-27,Pune,Delhi,tie
29-27,Bengaluru,Pune,Bengaluru
31-38,Bengal,Pune,Pune
34-34,Pune,Bengal,tie
34-31,Mumbai,Pune,Mumbai
34-39,Delhi,Pune,Pune
36-33,Pune,Bengaluru,Pune
27-25,Mumbai,Delhi,Mumbai
18-26,Bengal,Mumbai,Mumbai
23-24,Bengaluru,Mumbai,Mumbai
27-31,Mumbai,Bengal,Bengal
27-28,Mumbai,Bengaluru,Bengaluru
34-38,Delhi,Mumbai,Mumbai
24-23,Bengaluru,Bengal,Bengaluru
32-24,Delhi,Bengaluru,Delhi
20-40,Bengaluru,Delhi,Delhi
25-27,Bengal,Bengaluru,Bengaluru
31-23,Bengal,Delhi,Bengal
41-20,Delhi,Bengal,Delhi
